交易日期,交易类型,股票名称,代码,买卖方向,币种,数量(股),单价,总金额(不含手续费),手续费,归属人,备注,,,,,,,,,,,,,
2024/1/1,入金,-,-,-,港币,-,-,35643.97,-,伍神,,,,,,,,,,,,,,
2024/1/1,入金,-,-,-,美元,-,-,2903.82,-,伍神,,,,,,,,,,,,,,
2024/1/1,入金,-,-,-,港币,-,-,26501.32,-,笑神,,,,,,,,,,,,,,
2024/1/1,入金,-,-,-,港币,-,-,31782.94,-,游神,,,,,,,,,,,,,,
2024/1/1,入金,-,-,-,美元,-,-,1572.02,,游神,,,,,,,,,,,,,,
2024/9/26,港股交易,李宁,2331,买入,港币,500,17.2,8600,29.73,笑神,,,,,,,,,,,,,,
2024/10/9,港股交易,李宁,2331,买入,港币,500,16.94,8470,18.26,笑神,,,,,,,,,,,,,,
2024/10/9,港股交易,李宁,2331,买入,港币,500,16.94,8470,18.26,伍神,,,,,,,,,,,,,,
2024/10/9,港股交易,李宁,2331,买入,港币,500,16.94,8470,18.26,游神,,,,,,,,,,,,,,
2025/2/21,港股交易,广发,1776,买入,港币,400,10.45,4180,40.83,笑神,,,,,,,,,,,,,,
2025/2/21,港股交易,广发,1776,买入,港币,600,10.45,6270,40.83,伍神,,,,,,,,,,,,,,
2025/2/24,美股交易,谷歌A,GOOGL,买入,美元,3,182.21,546.63,1,伍神,,,,,,,,,,,,,,
2025/3/3,美股交易,英伟达,NVDA,买入,美元,3,114.83,344.49,1,伍神,,,,,,,,,,,,,,
2025/3/10,美股交易,特斯拉,TSLA,买入,美元,3,235,705,1,伍神,,,,,,,,,,,,,,
2025/3/10,美股交易,特斯拉,TSLA,买入,美元,2,264.98,529.96,1,伍神,,,,,,,,,,,,,,
2025/3/28,港股交易,小米,1810,买入,港币,100,51.5,5150,12.5,笑神,,,,,,,,,,,,,,
2025/3/28,港股交易,小米,1810,买入,港币,100,51.5,5150,12.5,游神,,,,,,,,,,,,,,
2025/4/4,美股交易,英伟达,NVDA,买入,美元,3,94.91,284.73,2,伍神,,,,,,,,,,,,,,
2025/4/8,美股交易,拼多多,PDD,买入,美元,5,97,485,2.01,伍神,,,,,,,,,,,,,,
2025/6/17,美股交易,SEA,SE,买入,美元,10,157,1570,2.02,游神,,,,,,,,,,,,,,
2025/6/19,港股交易,李宁,2331,买入,港币,500,15,7500,28.63,游神,,,,,,,,,,,,,,
2025/7/3,港股交易,阿里,9988,买入,港币,100,105.7,10570,33.55,游神,,,,,,,,,,,,,,
2025/7/4,港股交易,阿里,9988,买入,港币,200,104,20800,44.88,伍神,,,,,,,,,,,,,,
2025/7/30,入金,-,-,-,港币,-,-,7969,-,游神,,,,,,,,,,,,,,
2025/7/30,入金,-,-,-,美元,-,-,579,-,游神,,,,,,,,,,,,,,
2025/7/30,入金,-,-,-,港币,-,-,22031.5,-,笑神,,,,,,,,,,,,,,
2025/7/30,港股交易,B站,9626,买入,港币,20,179,3580,13.5,笑神,,,,,,,,,,,,,,
2025/7/30,港股交易,B站,9626,买入,港币,20,179,3580,13.5,游神,,,,,,,,,,,,,,
2025/7/30,美股交易,circle,CRCL,买入,美元,3,188,564,-,游神,,,,,,,,,,,,,,
2025/8/11,出金,-,-,-,港币,-,-,4375.5,-,游神,,,,,,,,,,,,,,
2025/8/11,入金,-,-,-,美元,-,-,568.8,-,游神,,,,,,,,,,,,,,
2025/8/11,美股交易,SEA,SE,买入,美元,3,147.48,442.44,2.01,游神,,,,,,,,,,,,,,
2025/8/15,美股交易,SEA,SE,卖出,美元,3,179,537,2.02,游神,,,,,,,,,,,,,,
2025/8/19,港股交易,小米,1810,买入,港币,200,52.4,10480,30.47,笑神,,,,,,,,,,,,,,
2025/8/19,美股交易,SEA,SE,卖出,美元,7,179.76,1258.32,2.03,游神,,,,,,,,,,,,,,
2025/8/27,港股交易,B站,9626,卖出,港币,20,176.5,3530,13.5,游神,,,,,,,,,,,,,,
2025/8/27,港股交易,B站,9626,卖出,港币,20,176.5,3530,13.5,笑神,,,,,,,,,,,,,,
2025/9/1,港股交易,阿里,9988,卖出,港币,100,135,13500,28,游神,,,,,,,,,,,,,,
2025/9/1,港股交易,阿里,9988,卖出,港币,200,135,27000,60,伍神,,,,,,,,,,,,,,
2025/9/15,美股交易,wolf,wolf,买入,美元,500,2.39,1195,6.46,游神,,,,,,,,,,,,,,
2025/9/17,美股交易,wolf,wolf,卖出,美元,400,2.5,1000,5.24,游神,,,,,,,,,,,,,,
2025/9/17,美股交易,wolf,wolf,卖出,美元,100,2.6,268,2.32,游神,,,,,,,,,,,,,,
2025/9/18,美股交易,wolf,wolf,买入,美元,300,2.45,735,3.88,游神,,,,,,,,,,,,,,
2025/9/23,美股交易,wolf,wolf,卖出,美元,300,2.12,636,3.93,游神,,,,,,,,,,,,,,
2025/9/23,美股交易,亚马逊,AMZN,买入,美元,2,222,444,2,游神,,,,,,,,,,,,,,
2025/9/23,港股交易,天岳先进,2631,买入,港币,100,61.05,6105,25.77,游神,,,,,,,,,,,,,,
2025/9/24,港股交易,美团,3690,买入,港币,200,103,20600,44.8,伍神,,,,,,,,,,,,,,
2025/9/25,美股交易,SEA,SE,买入,美元,3,184,552,2.01,游神,,,,,,,,,,,,,,
2025/9/25,美股交易,甲骨文,ORCL,买入,美元,2,280.32,560.64,2.01,游神,,,,,,,,,,,,,,
2025/9/29,港股交易,天岳先进,2631,买入,港币,100,56.35,5635,24.72,游神,,,,,,,,,,,,,,
2025/10/16,港股交易,小米,1810,买入,港币,200,48,9600,21.6,笑神,,,,,,,,,,,,,,
2025/10/16,港股交易,小米,1810,买入,港币,200,48,9600,21.6,伍神,,,,,,,,,,,,,,
2025/10/17,港股交易,美团,3690,买入,港币,100,96,9600,29.21,伍神,,,,,,,,,,,,,,
2025/10/17,港股交易,天岳先进,2631,卖出,港币,200,51.25,10250,30.39,游神,,,,,,,,,,,,,,
